event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
71,lh_and_evap,powerMon,ramp,2026-06-02 17:32:56,2026-06-02 17:33:06,402.0,10.0,23.888488,23.88716,-0.0013279999999973313,23.886114,23.889522,0.0010569999999994195,6.76687201555989,down
72,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:33:05,2026-06-02 17:33:44,411.0,39.0,49.97246,54.309608,4.337147999999999,49.97246,54.309608,0.15442400000000234,9.159243517350681,up
73,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:33:07,2026-06-02 17:33:39,413.0,32.0,27.966246,1002.7792,974.812954,27.966246,1002.7792,163.33652500000005,1836.4170474408793,up
74,lh_and_evap,heaterFanSpeed,ramp,2026-06-02 17:33:13,2026-06-02 17:33:20,419.0,7.0,11250.0,11100.0,-150.0,0.0,11250.0,-5340.0,3.6822882332812856,down
75,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:33:16,2026-06-02 17:33:18,422.0,2.0,37.22796,36.51596,-0.7120000000000033,36.51596,37.22796,-0.35600000000000165,6.336633788056983,down
76,lh_and_evap,powerMon,ramp,2026-06-02 17:33:19,2026-06-02 17:33:44,425.0,25.0,23.889756,23.902664,0.012908000000003028,23.864228,23.902664,0.014202000000000936,24.329679312058246,up
77,lh_and_evap,vialTemp,ramp,2026-06-02 17:33:31,2026-06-02 17:33:34,437.0,3.0,35.3,33.900004,-1.3999959999999945,33.900004,35.3,-0.5500020000000028,5.901794145420125,down
78,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:33:33,2026-06-02 17:33:43,439.0,10.0,35.66196,32.97096,-2.6910000000000025,32.97096,35.66196,-0.3100019999999972,5.274508163218634,down
79,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:33:39,2026-06-02 17:33:43,445.0,4.0,97.65625,14.740566,-82.915684,14.740566,97.65625,-26.378413,5.972550091779055,down
80,lh_and_evap,targetSpeed,ramp,2026-06-02 17:33:39,2026-06-02 17:33:43,445.0,4.0,53.99336,11.199767,-42.793593,11.199767,53.99336,-13.765996000000001,5.740376337970069,down
81,lh_and_evap,powerMon,ramp,2026-06-02 17:35:23,2026-06-02 17:35:27,549.0,4.0,23.90138,23.901284,-9.599999999920783e-05,23.901284,23.902894,0.0006289999999999907,3.8838587313554163,down
82,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:36:22,2026-06-02 17:36:59,608.0,37.0,49.948672,54.227696,4.279024,49.948672,54.227696,0.15707000000000093,9.45403018655889,up
83,lh_and_evap,targetSpeed,ramp,2026-06-02 17:36:38,2026-06-02 17:36:42,624.0,4.0,0.0,47.16742,47.16742,0.0,47.16742,11.914799,6.043177076450525,up
84,lh_and_evap,powerMon,ramp,2026-06-02 17:36:38,2026-06-02 17:37:02,624.0,24.0,23.902574,23.892224,-0.010350000000002524,23.871324,23.902574,0.00853200000000065,21.328001835791298,down
85,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:36:39,2026-06-02 17:36:42,625.0,3.0,14.68515,77.35149,62.66634,14.68515,77.35149,23.962950999999997,6.530007879416292,up
86,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:36:42,2026-06-02 17:38:05,628.0,83.0,1002.9944,30.140784,-972.853616,29.816414,1002.9944,-67.36933000000002,720.0850989165463,down
87,lh_and_evap,vialTemp,ramp,2026-06-02 17:36:51,2026-06-02 17:36:53,637.0,2.0,25.3,24.3,-1.0,24.3,25.3,-0.5,5.620756328971546,down
88,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:36:59,2026-06-02 17:38:57,645.0,118.0,24.304974,36.901964,12.596989999999998,2.703945,40.11596,1.9855040000000006,11.249646005959987,up
89,lh_and_evap,vialTemp,ramp,2026-06-02 17:37:01,2026-06-02 17:37:09,647.0,8.0,23.2,17.1,-6.099999999999998,17.1,23.2,-1.1999999999999993,9.442872131540552,down
90,lh_and_evap,powerMon,ramp,2026-06-02 17:37:16,2026-06-02 17:37:40,662.0,24.0,23.887674,23.892132,0.004457999999999629,23.877678,23.89267,0.002252000000000365,9.567701758109257,up
91,lh_and_evap,vialTemp,ramp,2026-06-02 17:37:19,2026-06-02 17:38:46,665.0,87.0,14.8,42.4,27.599999999999998,1.3,43.5,5.100000000000001,9.895085415056947,up
92,lh_and_evap,vialHeaterTemp,ramp,2026-06-02 17:37:54,2026-06-02 17:39:58,700.0,124.0,34.829024,83.178615,48.349591,34.829024,271.692,11.495689999999996,24.999501737648618,up
93,lh_and_evap,condenserTemp,ramp,2026-06-02 17:38:01,2026-06-02 17:38:32,707.0,31.0,-34.229872,-32.570618,1.6592539999999971,-34.229872,-32.570618,0.10362599999999844,4.188944672056266,up
94,lh_and_evap,powerMon,ramp,2026-06-02 17:38:01,2026-06-02 17:38:05,707.0,4.0,23.881406,23.871482,-0.009923999999998045,23.871482,23.88695,0.0024850000000000705,11.82875585625322,down
95,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:38:25,2026-06-02 17:38:35,731.0,10.0,29.793762,27.848156,-1.9456060000000015,27.848156,29.793762,-0.40351400000000126,11.031820535605128,down
96,lh_and_evap,powerMon,ramp,2026-06-02 17:38:28,2026-06-02 17:38:37,734.0,9.0,23.8878,23.890102,0.0023020000000002483,23.887632,23.890888,-0.0011010000000002407,4.208016976948585,up
